"vo_avg s valence electrons","vo_avg p valence electrons","vo_avg d valence electrons","vo_avg f valence electrons","PymatgenData mean Z","PymatgenData mean ionization_energy","PymatgenData mean electron_affinity","band center","PymatgenData mean atomic_radius","PymatgenData mean max_oxidation_state","PymatgenData mean X","PymatgenData mean mendeleev_no","PymatgenData mean row","PymatgenData mean group","PymatgenData mean atomic_mass","min_diff_X_all_atoms","target_H_min_sp_e"
1.333,0,10,0,29.333,8.281763061,0.617807928,4.54926643117007,1.35,3.334,1.81675,73.332,4,11.333,64.166379,0.25,-0.482598179999997
0.625,0,10,8.75,66.625,8.892285875,1.65368435625,5.23172023071857,1.36875,4.625,2.4125,69.625,5.625,10.625,163.011605625,0.34,-0.482114349999961
0.5,0,10,0,46.5,7.9565365,0.9333071,4.4431471390662,1.5,3.5,2.065,70,5,10.5,107.1441,0.27,-0.477191900000037
0.75,0,10,5.25,58.75,9.124588375,0.15633825,4.72221897272286,1.4375,4,2.125,70.875,5.375,10.75,141.73375,0.2,-0.476427000000001
0.375,0,9.75,3.5,51.875,8.416029375,1.0370875,4.70906021661731,1.38125,4.5,2.1825,69.125,5.125,10.125,123.22675,0.0799999999999996,-0.475477269999999
1,0,9.25,10.5,68,8.935502,1.5865964,5.30318977612625,1.35625,5.25,2.19125,69.125,5.625,10.25,167.791625,0.0799999999999996,-0.474618020000037
0.376,0.188,10,2.632,52.58,7.9178712804,0.51662865412,4.16888477947795,1.494,3.812,2.09096,70.692,5.188,10.564,124.8371004,0.58,-0.472450790000039
1.125,0.375,8.25,0,45.75,7.602586125,1.13095564875,4.36445752896413,1.3625,5.875,2.25125,67.875,5,9.75,105.2623125,0.23,-0.472038020000014
1,0,8.833,11.662,72.489,8.70834169,1.961075429,5.33618033052989,1.35,6,2.28,67.499,5.833,9.833,179.6901905,0,-0.468201090000036
0,0,10,0,46,8.336839,0.5621412,4.44703565505804,1.4,4,2.2,69,5,10,106.42,0,-0.466260580000039
0.266,0.266,10,0,46.532,8.204780507,0.635281757,4.41730902570894,1.40665,4,2.16808,70.862,5,10.532,108.05457,0.24,-0.464996550000024
0.333,0,10,0,44.335,8.100223741,0.8017132104,4.4486339034514,1.43885,3.778,2.10676,69.777,4.889,10.333,101.9824864,0.03,-0.464658939999993
0.25,0,10,0,44,8.165456,0.739138025,4.44980857940658,1.41875,3.875,2.12875,69.625,4.875,10.25,101.241775,0.03,-0.463872560000027
0.125,0,10,1.75,50.125,8.447928375,0.78044983125,4.59394077064333,1.39375,4.125,2.2425,69.125,5.125,10.125,117.738321125,0.34,-0.461169810000058
1.125,0.25,8.25,0,45.625,7.44452725,1.139039275,4.2894919124573,1.3625,5.75,2.24,67.25,5,9.625,104.8810625,0.32,-0.460617889999867
0.455,0.182,10,1.274,49.549,7.9535241044,0.67317818515,4.24972995175104,1.42275,3.909,2.1545,70.911,5.091,10.637,116.188173779,0.34,-0.460156880000056
1,0,8.167,2.338,50.511,7.70938831,1.306921571,4.48878286878513,1.35,6,2.28,65.501,5.167,9.167,118.2993095,0,-0.458569610000041
0.5,0,10,3.5,54.5,8.3688665,1.1843414125,4.74362351906133,1.4375,4,2.2175,69.75,5.25,10.5,129.41869225,0.27,-0.457131800000013
1.6,0,7,8.4,63.8,8.324412,1.356943072,4.85515744976572,1.33,6.8,2.2,64.4,5.6,8.6,155.7582,0,-0.455695229999947
0.5,0.25,10,3.5,54.75,7.779701075,0.5016191975,4.08102375766385,1.525,3.75,2.055,71.25,5.25,10.75,130.910825,0.58,-0.455111220000049
1.167,0.167,10,11.662,73.99,8.6512078839,1.97300533825,5.18343845082358,1.3834,4.666,2.41308,71.503,5.833,11.334,183.247757977,0.76,-0.453496879999989
0.572,0.143,10,6.006,60.443,8.2723285969,1.02701276287,4.5606713449464,1.4572,4.143,2.2143,70.573,5.429,10.715,146.325070634,0.34,-0.453026280000017
1.5,0,8,0,36.5,7.549389,1.1500266,4.34904744460652,1.35,5,2.095,66,4.5,9.5,80.79945,0.37,-0.452313249999975
0.625,0.25,10,1.75,50.875,7.81030755,0.71466453125,4.17827891966924,1.43125,3.875,2.1375,71.625,5.125,10.875,119.837821125,0.34,-0.452292280000052
