"vo_avg s valence electrons","vo_avg p valence electrons","vo_avg d valence electrons","vo_avg f valence electrons","PymatgenData mean Z","PymatgenData mean ionization_energy","PymatgenData mean electron_affinity","band center","PymatgenData mean atomic_radius","PymatgenData mean max_oxidation_state","PymatgenData mean X","PymatgenData mean mendeleev_no","PymatgenData mean row","PymatgenData mean group","PymatgenData mean atomic_mass","min_diff_X_all_atoms","target_H_min_sp_e"
1.666,0,10,0,32.672,9.217618214,-0.4225824196,4.65458551059779,1.35835,2.334,1.74185,74.831,4.167,11.666,72.257837,0.55,0.0167569600000092
1,0.25,10,7,63.25,8.143575675,1.369590425,4.6061891496455,1.4125,4.25,2.265,72,5.5,11.25,153.7927845,0.34,0.0170790399999987
1.333,0,10,9.338,68.677,9.148386578,1.30008303675,5.30899967283918,1.4166,4.001,2.25695,71.665,5.667,11.333,168.809564523,0.85,0.0191638800000077
1.286,0.143,10,9.996,67.703,8.731062002,1.58845447795,5.10462643700809,1.37145,4.285,2.31406,72.288,5.571,11.429,166.679292266,0.12,0.020386209999998
1.8,0,10,0,33.4,9.0306044,-0.2351054,4.64455640047072,1.4,2.2,1.706,75,4.2,11.8,73.90084,0.28,0.0241401900000113
1.4,0,10,2.8,39.4,8.6933416,0.70803565,4.80106169007627,1.35,3.4,1.928,73.2,4.4,11.4,90.9753138,0.25,0.02444792
0.875,0.125,10,8.75,67,8.5734754625,1.62079170625,4.98942535749797,1.3875,4.5,2.36,70.875,5.625,11,164.061355625,0.34,0.0252263700000128
0.875,0,10,10.5,70.875,8.908299625,1.9647844625,5.40336509349343,1.3875,4.625,2.42125,70,5.75,10.875,174.51095175,0.27,0.027247079999995
1.444,0,10,7.784,57.244,9.300431492,1.008307299,5.2651695250765,1.35,3.668,2.14484,72.664,5.112,11.444,138.555008364,0.89,0.0274536000000011
1.5,0,10,3.5,42,8.935082,0.5760985625,4.88565236769497,1.35,3.25,1.935,73.5,4.5,11.5,97.83264225,0.25,0.0278020199999957
1.444,0,10,0,29.444,8.466890748,0.411815904,4.57358163467898,1.35,3.112,1.789,73.776,4,11.444,64.373172,0.25,0.0278125500000072
0.833,0,10,0,46.833,8.428592638,0.259157591,4.46240866550815,1.48335,3.167,1.98508,71.332,5,10.833,108.6568524,0.24,0.0296974199999908
1.25,0,10,0,38.25,8.06826125,0.8061825,4.51198437779427,1.475,3,1.8525,72.5,4.5,11.25,86.17285,0.03,0.029859959999996
1,0,10,10.5,71,9.085497875,1.7117253375,5.41214607541966,1.38125,4.5,2.39125,70.5,5.75,11,175.07880175,0.34,0.0358822500000144
1.26273726273726,0,10,0,47.2627372627373,8.06401545954046,0.626074345254746,4.45791688867194,1.57362637362637,2.73726273726274,1.86853146853147,72.1568431568432,5,11.2627372627373,109.225612787213,0.24,0.0365347999999983
1.5,0,10,0,31.3,8.5452739,0.3147609,4.58200812091873,1.375,2.9,1.778,73.9,4.1,11.5,68.90972,0.03,0.0368426699999986
1.125,0,10,0,29.125,7.934857125,1.003811,4.50405034613863,1.35,3.75,1.86875,72.5,4,11.125,63.778875,0.25,0.0374100500000054
2,0.111,10,0,32.109,8.9937266157,-0.517991,4.47636353277698,1.3722,2.111,1.66443,76.333,4.111,12.111,70.893399,0.13,0.0375540000000071
1.11111111111111,0,10,6.22222222222222,51.3333333333333,8.57799255555556,1.50639744444444,5.03731598224694,1.35,4.22222222222222,2.15666666666667,71.5555555555556,4.88888888888889,11.1111111111111,123.051030666667,0.25,0.0379752300000006
1,0,10,4.662,45.65,8.225604942,1.59303514125,4.87106295019198,1.35,4.333,2.11312,71.334,4.666,11,107.975049477,0.64,0.0404145400000004
1.25,0.5,10,10.5,71.75,8.755145,2.0094752375,5.33683836447843,1.375,4.75,2.395,73.25,5.75,11.75,177.40242675,0.58,0.0417394499999943
1.583,0,10,0,47.583,8.402686638,0.124205241,4.47300947633972,1.57085,2.417,1.79008,73.332,5,11.583,110.5166524,0.24,0.0434416800000008
1,0,10,10.892,71.896,8.85940496,2.0856917805,5.44192209046033,1.4055,4.556,2.40458,70.222,5.778,11,177.186731082,0.61,0.04637661000001
1,0.125,10,10.5,71.125,8.6845648375,1.8391003375,5.15424798670574,1.38125,4.625,2.4025,71,5.75,11.125,175.37967675,0.34,0.0466732999999521
1,0,10,11.662,73.656,8.95011756,2.14091932925,5.52083304487501,1.39175,4.666,2.43813,70.167,5.833,11,182.087141377,0.61,0.0471620200000018
1.25,0.25,10,10.5,71.5,8.365754425,1.8062076875,4.91554105907729,1.4,4.5,2.35,72.25,5.75,11.5,176.42942675,0.76,0.0482412600000259
1,0,10,7,63,8.94544175,1.114840425,5.07867202744062,1.4125,4,2.2425,71,5.5,11,153.1910345,0.34,0.0571257199999877
1,0,10,10.5,66.5,8.8507605,2.0404036875,5.4136563604766,1.35,4.75,2.38,70.5,5.5,11,163.61142675,0.64,0.0579605300000025
1,0.285714285714286,10,6,61,7.98900734285714,1.23544473571429,4.46058874813229,1.42142857142857,4.14285714285714,2.22571428571429,72.2857142857143,5.42857142857143,11.2857142857143,147.625101,0.34,0.0583985200000256
1,0.363636363636364,10,3.81818181818182,56.0909090909091,7.65176734545455,0.942763231818182,4.15869173995329,1.44090909090909,3.90909090909091,2.14,72.9090909090909,5.27272727272727,11.3636363636364,134.168337,0.34,0.058845119999944
1.625,0,10,0,29.625,8.768765625,0.075919,4.61350980373318,1.35,2.75,1.74375,74.5,4,11.625,64.710375,0.25,0.0588922000000025
1.5,1,10,7,64.5,8.284736,1.710340225,4.93832021373406,1.4,4.5,2.25,76.5,5.5,12.5,157.8382845,0.58,0.0590346299999993
1.2,0.4,10,11.2,73.2,8.8492268,2.06930224,5.42032103979364,1.37,4.8,2.424,72.6,5.8,11.6,181.3152552,0.58,0.0595311799999933
1.53,0,10,0,47.53,8.839429465,-0.418696818,4.48544096954298,1.51475,2.47,1.80985,73.59,5,11.53,111.003115,0.51,0.0604510499999975
1.4,0,10,0,31.2,8.3784922,0.5003393,4.56005638028407,1.375,3.1,1.803,73.5,4.1,11.4,68.72342,0.03,0.0609024000000033
1.4,0,10,8.4,66.6,9.1328604,1.09716615,5.22124717512312,1.43,3.8,2.2,72,5.6,11.4,163.1443414,0.85,0.0624186300000246
1.334,0.667,10,9.338,69.345,6.8503950161,0.40066849733,3.53630927608126,1.7335,3.333,1.81314,75.003,5.667,12.001,171.7615211,0.58,0.0628144800000143
1,0,10,11.2,69,8.9257192,2.094045,5.48264742316001,1.35,4.8,2.412,70.4,5.6,11,170.2824552,0.64,0.0654135799999267
1.25,0,10,5.25,59.25,8.5491255,1.17490621875,4.91304170442794,1.49375,3.5,2.09875,71.625,5.375,11.25,142.415788375,0.24,0.0664641299999999
1.6,0,10,0,47.6,8.8624238,-0.46357176,4.48720598818678,1.52,2.4,1.792,73.8,5,11.6,111.2128,0.51,0.0673151700000005
1.667,0,10,0,41.673,8.57176248,-0.068723928,4.49056461777541,1.4834,2.666,1.75993,74.001,4.667,11.667,96.138955,0.21,0.0674207200000012
1,0,10,3.5,50.5,8.0261005,1.5383350625,4.74954108354157,1.475,3.75,2.075,71,5,11,119.06224225,0.03,0.0679107200000004
1,0,10,11.662,70.65,8.975191942,2.12944826625,5.52866246571658,1.35,4.833,2.43312,70.334,5.666,11,174.685333977,0.64,0.0701976400000035
1,0,10,9.338,68.344,8.67633044,1.97423254575,5.28608392369028,1.43325,4.334,2.33687,70.333,5.667,11,167.296812123,0.61,0.0725570899999894
0.875,0,10,12.25,74.875,9.114464625,2.09030161875,5.58308284098183,1.35625,4.875,2.4975,69.875,5.875,10.875,185.648247875,0.34,0.072769869999945
1.111,0.222,10,9.338,68.677,8.3634046124,1.66861870995,4.86196878297972,1.39995,4.445,2.33354,71.887,5.667,11.333,168.678917523,0.34,0.0727769199999954
1.25,0,10,7,63.25,9.027564375,0.954572775,5.08581297755855,1.43125,3.75,2.17875,71.75,5.5,11.25,153.9399095,0.34,0.0740661899999963
1.4,0,10,0,40.2,8.3034192,0.5346838,4.54074915000821,1.5,2.6,1.818,73,4.6,11.4,90.88452,0.28,0.0748006800000098
1.25,0.125,10,10.5,69.125,8.79330575,1.67910345625,5.18368289902192,1.36875,4.375,2.3425,72,5.625,11.375,170.49167675,0.12,0.0765560600000014
1.25,0,10,3.5,55.25,8.3429605,1.0493890625,4.75489237840414,1.525,3.25,2.0225,71.75,5.25,11.25,131.27849225,0.24,0.0768687700000043
1,0,10,3.108,52.106,7.959049246,1.5197669905,4.70930036863581,1.51675,3.555,2.06209,70.889,5.111,11,122.728273718,0.03,0.0782929199999955
1.111,0.111,10,12.446,75.67,8.8438029887,2.08554351225,5.37238924914209,1.3722,4.778,2.45564,70.999,5.889,11.222,187.848077841,0.76,0.0783952600000077
0.9,0.4,10,1.4,50.5,7.40551718,0.631531625,3.92158554890736,1.455,3.7,2.066,73.1,5.1,11.3,118.8338569,0.34,0.0786501399999792
0.777,0.333,10,1.554,50.662,7.5861754261,0.66837324495,4.03405828273304,1.4444,3.778,2.09788,72.441,5.111,11.11,119.267203159,0.34,0.0801755100000036
1.3,0,10,7,63.3,9.0439889,0.922519245,5.08724237200865,1.435,3.7,2.166,71.9,5.5,11.3,154.0896845,0.34,0.0806302499999844
1,0,10,0,43.4,7.6062632,1.2907352,4.4468026969932,1.55,3.2,1.924,71.2,4.8,11,99.00376,0.03,0.0809369000000117
1,0,10,6.006,50.45,8.369525646,1.69602646125,4.99094792250164,1.35,4.429,2.17456,71.142,4.858,11,120.783424101,0.64,0.08366749999999
1.111,0,10,12.446,73.561,9.244273373,1.98353451225,5.63760610377872,1.35,4.667,2.44121,70.666,5.778,11.111,182.363678841,0.89,0.0838193799999942
1.889,0,10,0,29.889,9.209069313,-0.414007976,4.67237340696547,1.35,2.222,1.67775,75.556,4,11.889,65.202207,0.25,0.0839231500000039
1.375,0,10,3.5,41.875,8.726604875,0.8080715625,4.85641183954286,1.35,3.5,1.96625,73,4.5,11.375,97.59976725,0.25,0.0850046799999972
1.222,0,10,9.338,62.572,9.096584432,1.53937506075,5.35786071391887,1.35,4.223,2.27138,71.554,5.334,11.222,152.951105523,0.25,0.08607619
0.909,0,10,8.904,67.261,8.694416575,1.8755520972,5.24419918053629,1.4228,4.363,2.34253,70.182,5.636,10.909,164.402976484,0.27,0.0861231700000075
2,0.188,10,0,48.188,8.3908167116,-0.528428,4.17889287981068,1.55,2.188,1.70692,75.752,5,12.188,112.863516,0.0900000000000001,0.0867631899999992
1.667,0,10,4.662,58.323,9.070987422,0.28852721325,4.88571926560336,1.4834,2.999,1.97305,73.335,5.333,11.667,140.568004477,0.85,0.0882922200000138
1,0,10,7,63,8.400894,1.806541625,5.05999183186177,1.475,4,2.235,70.5,5.5,11,152.4173845,0.61,0.0904053099999941
1,0,10,14,79,9.225554,2.30861025,5.76751658374793,1.35,5,2.54,70,6,11,196.966569,0,0.0908642200000002
1,0,10,7.994,57.55,8.582408354,1.84836778875,5.17370899319652,1.35,4.571,2.26544,70.858,5.142,11,139.729144899,0.64,0.0914611999999976
1.111,0,10,9.338,62.461,8.911456745,1.74536708475,5.32937593239808,1.35,4.445,2.29913,71.11,5.334,11.111,152.744312523,0.25,0.0921341800000021
1,0,10,12.446,75.448,9.04247948,2.19715101525,5.60235449647683,1.37775,4.778,2.47229,70.111,5.889,11,187.076650041,0.61,0.0922566500000243
1.22222222222222,0,10,4.66666666666667,45.8888888888889,8.59673066666667,1.18099630555556,4.92374062587217,1.35,3.88888888888889,2.05777777777778,72.2222222222222,4.66666666666667,11.2222222222222,108.433523,0.25,0.0957747200000085
1.833,0,10,0,47.833,8.757083138,-0.381913009,4.48755942047798,1.55835,2.167,1.73008,74.332,5,11.833,111.6523524,0.24,0.0960117900000057
1.778,0,10,0,31.776,9.276830262,-0.4887823268,4.66888100159383,1.35555,2.222,1.71105,75.223,4.111,11.778,69.961221,0.55,0.0973640699999975
1.25,0,10,7,54.25,8.89292125,1.308251125,5.14288275342239,1.35,4,2.1575,72,5,11.25,130.7220345,0.25,0.0973818600000102
1.4,0,10,0,47.4,8.3610875,0.21800332,4.46897114619935,1.555,2.6,1.837,72.8,5,11.4,109.99478,0.24,0.0978707600000063
1.6,0,10,0,40.4,8.486844,0.0623136,4.48920963771985,1.47,2.8,1.774,73.8,4.6,11.6,92.865,0.21,0.09859127
2,0.5,10,0,35,8.88162725,-0.18698245,4.57542947370382,1.375,2.5,1.7275,77.75,4.25,12.5,78.73425,0.31,0.0992837900000012
1.571,0,10,0,39.849,8.45008824,0.119031336,4.48862328060353,1.4642,2.858,1.78009,73.713,4.571,11.571,91.447915,0.21,0.0992885699999419
1.5,0,10,0,30.994,8.547826382,0.313593187,4.58266917484231,1.37075,2.917,1.77749,73.917,4.083,11.5,68.1562426,0.03,0.100507590000007
1,1,10,0,48,7.8403785,0.8371057,4.33630805316381,1.425,4,2.08,76,5,12,112.565,0.24,0.100824100000011
1.625,0,10,5.25,59.625,9.08072025,0.41572884375,4.9370331299947,1.475,3.125,2.00875,73.125,5.375,11.625,144.119338375,0.85,0.101997530000006
1,0,10,7,61.2,8.4159086,1.799672725,5.06428754116147,1.45,4.1,2.232,70.6,5.4,11,147.9851645,0.03,0.103777699999966
1.5,0,10,7,54.5,9.3098755,0.844305125,5.20499994399855,1.35,3.5,2.095,73,5,11.5,131.1877845,0.89,0.110467389999997
1,0,10,4.66666666666667,57.6666666666667,8.852071,0.71691715,4.86785096061499,1.43333333333333,3.66666666666667,2.14333333333333,71.3333333333333,5.33333333333333,11,138.599189666667,0.34,0.110637059999988
1.111,0,10,9.338,68.455,9.075461687,1.44240070995,5.30237971165888,1.39995,4.223,2.31356,70.999,5.667,11.111,168.144563523,0.34,0.111789390000013
1,0,10,5.6,59.8,8.235962,1.7061279,4.92926320497296,1.5,3.8,2.174,70.6,5.4,11,143.5075476,0.61,0.114189780000004
1.25,0.25,10,12.838,76.844,8.309343765,1.72812759325,4.85313668812635,1.50825,4.334,2.25937,72.083,5.917,11.5,191.425587123,0.31,0.116659379999987
1.538,0,10,0,37.854,8.554298094,0.269106526,4.57629784470882,1.4655,2.462,1.77936,73.69,4.462,11.538,85.0251504,0.28,0.116733550000021
1.111,0.222,10,12.446,75.781,9.016692404,2.17579430445,5.57216438005506,1.3611,4.889,2.47562,71.443,5.889,11.333,188.280089841,0.58,0.117322490000021
1.6,0,10,5.6,60.4,9.0865136,0.4914441,4.96783261023467,1.47,3.2,2.03,73,5.4,11.6,146.2332276,0.85,0.117464140000003
1,0,10,11.2,72.6,8.89569,2.1077828,5.47335021380224,1.4,4.6,2.418,70.2,5.8,11,179.1468952,0.61,0.117475439999993
1,0,10,9.338,64.348,8.709662852,1.95898358775,5.29605166956831,1.37775,4.556,2.33021,70.555,5.445,11,157.457283723,0.03,0.118349370000004
1,0,10,8.75,60.25,8.66336375,1.90630040625,5.24495300559716,1.35,4.625,2.3,70.75,5.25,11,146.933855625,0.64,0.120099400000015
1,0,10,7,58.5,8.4384305,1.789369375,5.07073794395448,1.4125,4.25,2.2275,70.75,5.25,11,141.3368345,0.03,0.120153850000008
1.41658341658342,0,10,5.83216783216783,50.2457542457543,9.04569593106893,0.909616785464536,5.07581453494673,1.35,3.58341658341658,2.06246753246753,72.8331668331668,4.83316683316683,11.4165834165834,119.902891381618,0.25,0.120264630000008
1.545,0,10,0,29.545,8.635340265,0.22438172,4.5958191876774,1.35,2.91,1.76375,74.18,4,11.545,64.561335,0.25,0.122716309999987
1.5,0,10,0,32.506,8.535214118,0.319363063,4.57940371911717,1.39175,2.833,1.78001,73.833,4.167,11.5,71.8793074,0.03,0.123401910000013
1.5,0,10,0,38.5,8.3601,0.257892,4.48718803989469,1.45,3,1.795,73.5,4.5,11.5,87.9785,0.21,0.124091319999991
1,0,10,8.4,59,8.6258844,1.87947975,5.21184851923728,1.35,4.6,2.284,70.8,5.2,11,143.5983414,0.64,0.124921260000008
1.6,0,10,2.8,54,8.9744687,0.0139361700000001,4.72140744237929,1.495,2.8,1.911,73.4,5.2,11.6,128.7230138,0.34,0.12559916
1.556,0,10,0,29.556,8.653686252,0.203968096,4.59824761911537,1.35,2.888,1.761,74.224,4,11.556,64.581828,0.25,0.125697769999988
1.75,0,10,0,34.25,8.93970625,-0.13888175,4.63145181102112,1.4125,2.25,1.72,74.75,4.25,11.75,76.0238,0.28,0.126158020000005
1.833,0,10,0,29.833,9.115671561,-0.310084072,4.65982475040286,1.35,2.334,1.69175,75.332,4,11.833,65.097879,0.25,0.128139400000009
1.5,0,10,3.5,46.5,8.8975455,0.5932708125,4.87529849641045,1.4125,3,1.9425,73.25,4.75,11.5,108.91319225,0.28,0.129321380000007
1.167,0,10,0,44.161,7.879833821,0.983086009,4.48135413162886,1.55825,2.833,1.88324,71.835,4.833,11.167,100.7775136,0.28,0.129594119999979
1.44444444444444,0,10,6.22222222222222,51.6666666666667,9.13393155555556,0.887802777777778,5.11860168393042,1.35,3.55555555555556,2.07333333333333,72.8888888888889,4.88888888888889,11.4444444444444,123.672030666667,0.25,0.130004499999984
1.111,0,10,12.446,75.559,9.199831526,1.97243451225,5.61043843162811,1.3722,4.667,2.44565,70.555,5.889,11.111,187.580900841,0.85,0.130680810000001
1,0,10,8.4,66.2,8.565826,1.90695535,5.1941875030486,1.45,4.2,2.296,70.4,5.6,11,161.3272214,0.61,0.13403661000001
1.2,0,10,11.2,72.8,9.1792072,1.7028882,5.48758869362215,1.39,4.4,2.37,71,5.8,11.2,180.0554552,0.85,0.134512870000009
1,0,10,6.22222222222222,59.2222222222222,8.325948,1.74312411111111,4.99164690090237,1.46111111111111,4,2.19777777777778,70.6666666666667,5.33333333333333,11,142.542786222222,0.03,0.135381030000005
2,0.25,10,0,34.75,8.492236675,-0.39025,4.21423882548138,1.4,2.25,1.6825,76.75,4.25,12.25,77.76125,0.13,0.135572880000012
1.667,0,10,0,35.661,8.788815321,0.020849509,4.60977977420638,1.43325,2.333,1.74324,74.335,4.333,11.667,79.5479136,0.28,0.135993980000009
1.889,0,10,1.554,35.439,9.375477627,-0.29492426225,4.80559015977826,1.35,2.333,1.74879,75.334,4.222,11.889,80.011890159,0.89,0.139076720000006
1,0,10,10.178,68.626,8.788952926,2.02823008175,5.3739065499624,1.3955,4.545,2.37074,70.364,5.636,11,168.609394063,0.03,0.13949371999999
1.33333333333333,0,10,6.22222222222222,61.5555555555556,8.78179377777778,1.07593188888889,5.00858320127885,1.47222222222222,3.55555555555556,2.12111111111111,71.8888888888889,5.44444444444444,11.3333333333333,148.981741777778,0.24,0.140678469999997
1.25,0,10,7,58.75,8.792827,1.283251125,5.08723219781523,1.4,4,2.1675,71.75,5.25,11.25,142.4725345,0.21,0.141112539999995
1.375,0,10,0,47.375,8.10782875,0.545295625,4.46093988202829,1.58125,2.625,1.84,72.5,5,11.375,109.57175,0.24,0.141317860000015
1,0,10,9.338,66.346,8.692996646,1.96660806675,5.291065449372,1.4055,4.445,2.33354,70.444,5.556,11,162.377047923,0.03,0.141549129999987
1.5,0,10,1.162,41.156,8.62210906,0.42557989175,4.66677618551752,1.45425,2.666,1.84063,73.417,4.583,11.5,94.033764627,0.28,0.146917160000001
1.5,0,10,0,47.5,8.82957475,-0.3994647,4.48468474552606,1.5125,2.5,1.8175,73.5,5,11.5,110.91325,0.51,0.147517780000001
1,0,10,10.5,71,8.813224,2.0575759375,5.40218352186334,1.4125,4.5,2.3875,70.25,5.75,11,174.69197675,0.61,0.147910580000001
0.889,0,10,12.446,75.337,9.126906635,2.11475218545,5.60344259683613,1.35555,4.889,2.50226,69.889,5.889,10.889,186.915899841,0.34,0.148013349999999
1.16683316683317,0,10,5.83216783216783,60.4975024975025,8.49981372227772,1.38503068456543,4.96144728439177,1.48751248751249,3.66633366633367,2.14407592407592,71.2507492507493,5.41658341658342,11.1668331668332,145.74299268032,0.24,0.148537570000002
1,0,10,3.5,52.75,8.00733225,1.5469211875,4.74450570494797,1.50625,3.625,2.07875,70.875,5.125,11,124.60251725,0.03,0.149595630000007
1.167,0,10,7,60.161,8.704493821,1.485154634,5.10796956411427,1.43325,3.833,2.18824,71.335,5.333,11.167,145.3266981,0.28,0.150522160000008
1.286,0.286,10,0,47.572,7.0643288062,1.016907722,3.98482323436685,1.5857,3,1.8871,73.288,5,11.572,109.8558428,0.15,0.153020349999991
1.33333333333333,1,10,0,48.3333333333333,7.15570423333333,0.657737133333333,3.85347906171004,1.46666666666667,3.66666666666667,1.98,77,5,12.3333333333333,113.316,0.18,0.153925079999993
1,0,10,3.5,55,7.988564,1.5555073125,4.73947566477279,1.5375,3.5,2.0825,70.75,5.25,11,130.14279225,0.61,0.157461630000014
1.167,0,10,11.662,73.823,9.186854422,1.80283233825,5.53282274587996,1.3834,4.499,2.39805,70.835,5.833,11.167,182.845788977,0.85,0.160299019999997
1.25,0,10,10.5,66.75,9.26771475,1.5764576875,5.47904403116261,1.35,4.25,2.3175,71.5,5.5,11.25,164.07717675,0.89,0.163972000000015
1.4,0.8,10,8.4,67.4,8.4728996,1.82999423,5.09402612854518,1.39,4.6,2.308,75.2,5.6,12.2,165.6639414,0.58,0.164159830000003
1.286,0,10,0,47.286,7.981663596,0.725473722,4.45578544233923,1.5857,2.714,1.86136,72.144,5,11.286,109.1674408,0.24,0.164276919999992
1.22222222222222,0,10,4.66666666666667,57.8888888888889,8.44102644444445,1.18930252777778,4.85799601121794,1.50555555555556,3.44444444444444,2.08,71.5555555555556,5.33333333333333,11.2222222222222,138.577167444444,0.24,0.166938140000013
1.25,0.25,10,0,47.5,7.128764425,1.05310475,4.03936198368918,1.5875,3,1.8925,73,5,11.5,109.60565,0.15,0.166969789999996
1.33333333333333,0,10,0,47.3333333333333,8.29078388888889,0.322225911111111,4.46583396434419,1.55555555555556,2.66666666666667,1.85333333333333,72.5555555555556,5,11.3333333333333,109.726311111111,0.24,0.167212730000003
1.125,0,10,10.5,68.875,9.0091905,1.7959306875,5.41670527777502,1.375,4.5,2.35375,70.875,5.625,11.125,169.71955175,0.21,0.16727109
1.5,0,10,0,43,8.3225635,0.27506425,4.47767861026319,1.5125,2.75,1.8025,73.25,4.75,11.5,99.05905,0.03,0.168125100000005
1.2,0,10,0,47.2,8.7310276,-0.20714352,4.47712951407894,1.49,2.8,1.894,72.6,5,11.2,110.0146,0.51,0.168400860000006
1,0,10,10.5,68.75,8.83199225,2.0489898125,5.40791689873257,1.38125,4.625,2.38375,70.375,5.625,11,169.15170175,0.03,0.168448860000012
1,0,10,7,55.8,8.4609524,1.779066025,5.07719656265069,1.375,4.4,2.223,70.9,5.1,11,134.6885045,0.03,0.169936509999985
1.125,0,10,12.25,75.125,9.19658725,1.93003396875,5.59093302619881,1.375,4.625,2.43375,70.625,5.875,11.125,186.397122875,0.85,0.170176400000003
1,0,10,9.32867132867133,65.3196803196803,8.70028077522477,1.9621038518981,5.2926497398767,1.39170829170829,4.4995004995005,2.33145854145854,70.5004995004995,5.4995004995005,11,159.843029893107,0.03,0.170695719999998
1.25,0,10,0,47.25,8.747452125,-0.23919705,4.47838783484458,1.49375,2.75,1.88125,72.75,5,11.25,110.164375,0.51,0.172067589999983
1.625,0,10,0,36.375,8.712460875,0.101677375,4.59885187281508,1.44375,2.375,1.755,74.125,4.375,11.625,81.3312,0.28,0.17273849
1.33333333333333,0,10,4.66666666666667,58,8.598536,0.964361083333333,4.86501289387989,1.5,3.33333333333333,2.05333333333333,72,5.33333333333333,11.3333333333333,139.081923,0.24,0.173029059999998
1.44444444444444,0,10,4.66666666666667,50.1111111111111,8.93399088888889,0.783864083333333,4.96719201809659,1.40555555555556,3.22222222222222,2.00888888888889,72.8888888888889,4.88888888888889,11.4444444444444,118.696900777778,0.28,0.174436890000003
1.571,0,10,0,37.293,8.614290873,0.205598917,4.58483977063099,1.45725,2.429,1.77012,73.855,4.429,11.571,83.6239968,0.28,0.175089560000004
1,0,10,8.162,65.656,8.53778756,1.88988501675,5.17112571223876,1.45425,4.166,2.28563,70.417,5.583,11,159.812549127,0.61,0.175303220000004
1.4,0.4,10,0,47.8,6.86028268,0.9022838,3.8169280224675,1.58,3,1.87,74.2,5,11.8,110.64812,0.15,0.175491809999997
1.375,0,10,7,54.375,9.101398375,1.076278125,5.17384812722162,1.35,3.75,2.12625,72.5,5,11.375,130.9549095,0.25,0.176724020000023
1,0,10,12.446,73.45,9.059145686,2.18952653625,5.60763407077137,1.35,4.889,2.46896,70.222,5.778,11,182.156885841,0.64,0.182746269999996
1.333,0,10,0,41.339,8.181615679,0.663623491,4.52358971450671,1.51675,2.667,1.83676,72.665,4.667,11.333,93.7292864,0.28,0.183164060000003
1,0,10,6.216,61.208,8.30853208,1.750309939,4.98636245344844,1.489,3.888,2.20084,70.556,5.444,11,147.427875836,0.61,0.183596300000005
1.44444444444444,0,10,1.55555555555556,35,8.63420688888889,0.530194027777778,4.70421445872107,1.35,3.22222222222222,1.86,73.5555555555555,4.22222222222222,11.4444444444444,79.1985076666667,0.25,0.186130890000001
1.625,0,10,5.25,48.375,9.330955875,0.47822884375,5.07316162297726,1.35,3.125,1.98375,73.75,4.75,11.625,114.743088375,0.89,0.186834789999992
1.41658341658342,0,10,2.33566433566434,52.7552447552448,8.4419380979021,0.628634518231768,4.66257938643526,1.53746253746254,2.91708291708292,1.93178821178821,72.4995004995005,5.16683316683317,11.4165834165834,124.625218204795,0.24,0.187328300000019
1.833,0,10,0,44.827,8.78215752,-0.393384072,4.4939234946981,1.5166,2.334,1.72507,74.499,4.833,11.833,104.250545,0.21,0.1882287
1.167,0,10,11.662,70.817,9.253717381,1.81953233825,5.57318037238844,1.35,4.499,2.39137,71.002,5.666,11.167,174.996454977,0.89,0.188726510000009
1.833,0,10,0,32.839,9.090597179,-0.298613009,4.65322573495471,1.39175,2.167,1.69676,75.165,4.167,11.833,72.4996864,0.28,0.189002239999994
1.16683316683317,0,10,9.32867132867133,65.4865134865135,8.93678113686314,1.62435461013986,5.30413239562402,1.38336663336663,4.33266733266733,2.29141858141858,71.1678321678322,5.4995004995005,11.1668331668332,160.600919603397,0.21,0.189850700000008
1.166,1.166,10,0,48.332,7.757966057,0.882749807,4.31819595921177,1.42915,4,2.06008,77.162,5,12.332,113.58507,0.24,0.190819260000012
1.1,0,10,8.4,59.1,8.7470794,1.596618725,5.16004429759686,1.365,4.5,2.23,71.2,5.2,11.1,143.9606845,0.1,0.192631910000017
1.125,0,10,0,44.875,7.7722005,1.04282775,4.45119532375549,1.5625,3,1.89625,71.625,4.875,11.125,102.895775,0.03,0.192686479999992
1.167,0.167,10,0,47.334,7.2773243239,1.136559009,4.1679654641587,1.59165,3,1.90495,72.336,5,11.334,109.0288166,0.15,0.193073609999999
1.333,0,10,4.662,57.989,8.961271595,0.50264479365,4.87655646803318,1.45835,3.333,2.05822,72.333,5.333,11.333,139.567507477,0.34,0.193447580000012
1.2,0,10,0,43.6,7.9398266,0.9195784,4.48971883959201,1.55,2.8,1.874,72,4.8,11.2,99.37636,0.28,0.194011739999993
1.167,0,10,7,57.173,8.68762948,1.445581197,5.08533067669071,1.3834,4.166,2.18493,71.501,5.167,11.167,138.4167395,0.21,0.197632940000005
1.1,0,10,1.4,50.3,8.754201,0.0957175050000001,4.58990088550068,1.47,3.1,1.979,72.1,5.1,11.1,118.4701569,0.34,0.197816770000003
1.429,0,10,0,47.429,8.184378394,0.435974083,4.46407020085324,1.57855,2.571,1.82704,72.716,5,11.429,109.8170612,0.24,0.198285169999991
1.25,0,10,5.25,48,8.7055245,1.17414784375,4.98261739550492,1.35,3.875,2.0775,72.25,4.75,11.25,114.044463375,0.25,0.198436729999997
