slab_comp,chemicalComposition,surfaceComposition,Equation,sites,id,pubId,dftCode,dftFunctional,reactants,products,facet,activationEnergy,reactionEnergy
Pt-0.8-Rh-0.2,Pt9Rh3,Pt3Rh,0.5H2(g) + * -> H*,"{""H"": ""top|A""}",UmVhY3Rpb246NDAwOTMz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.309054516764235
Pt-0.8-Ru-0.2,Pt9Ru3,Pt3Ru,0.5H2(g) + * -> H*,"{""H"": ""top|A""}",UmVhY3Rpb246NDI4OTg4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.249490838358696
Pt-0.8-Sc-0.2,Pt9Sc3,Pt3Sc,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246NDAwNzYx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.423463147558294
Pt-0.8-Sn-0.2,Pt9Sn3,Pt3Sn,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDI4OTkw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.343768351255648
Pt-0.8-Ta-0.2,Pt9Ta3,Pt3Ta,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246MzQzNTYz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.089353340858878
Pt-0.8-Tc-0.2,Pt9Tc3,Pt3Tc,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246MzQ1NTMy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.159944568759755
Pt-0.8-Ti-0.2,Pt9Ti3,Pt3Ti,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246MzUwNzYx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.292809864858072
Pt-0.8-Tl-0.2,Pt9Tl3,Pt3Tl,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDI4OTkz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.365380176556727
Pt-0.8-V-0.2,Pt9V3,Pt3V,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246NDAwODA1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.210100047256645
Pt-0.8-W-0.2,Pt9W3,Pt3W,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246MzU0OTE2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.293298173058219
Pt-0.8-Y-0.2,Pt9Y3,Pt3Y,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246NDAwNzUx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.461931880857236
Pt-0.8-Zn-0.2,Pt9Zn3,Pt3Zn,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246NDI4OTk1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.258130860957834
Pt-0.8-Zr-0.2,Pt9Zr3,Pt3Zr,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246NDAwNzcw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.309480102760944
Re-1.0,Re12,Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzM5ODE5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.511985044558031
Re-0.2-Rh-0.8,Re3Rh9,Rh3Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246MzQzMDgy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.364235665757377
Re-0.2-Ru-0.8,Re3Ru9,Ru3Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246MzQxNjM1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.500515718459582
Re-0.2-Sc-0.8,Re3Sc9,Sc3Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQzNjUx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.08508236745817
Re-0.2-Sn-0.8,Re3Sn9,Sn3Re,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246MzQ5NDYz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.379168728958547
Re-0.2-Ta-0.8,Re3Ta9,Ta3Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDA3MTE5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.23920220355555
Re-0.2-Tc-0.8,Re3Tc9,Tc3Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246NDEwNzI5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.575581041956838
Re-0.2-Ti-0.8,Re3Ti9,Ti3Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDA2ODc3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.07345630385586
Re-0.2-Tl-0.8,Re3Tl9,Tl3Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDA0MjEz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,1.0171628894432
Re-0.2-V-0.8,Re3V9,V3Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQyMjYw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.989508640256616
Re-0.2-W-0.8,Re3W9,W3Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQwODYz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.895136159658222
Re-0.2-Y-0.8,Re3Y9,Y3Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ0MDcx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.04514449155883
Re-0.2-Zn-0.8,Re3Zn9,Zn3Re,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246MzYwNTc1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.699999108262063
Re-0.2-Zr-0.8,Re3Zr9,Zr3Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDA2Mjkx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.04707337055785
Re-0.5-Rh-0.5,Re6Rh6,ReRh,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246MzUxNDgx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.512898938958614
Re-0.5-Ru-0.5,Re6Ru6,ReRu,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246MzU5MzIw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.540946936757763
Re-0.5-Sc-0.5,Re6Sc6,ReSc,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246MzUzMTgx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.740848973658075
Re-0.5-Sn-0.5,Re6Sn6,ReSn,0.5H2(g) + * -> H*,"{""H"": ""top|A""}",UmVhY3Rpb246MzU5NzE5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.497831451458268
Re-0.5-Ta-0.5,Re6Ta6,ReTa,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_B_B|FCC""}",UmVhY3Rpb246MzUyNzQ3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.868031988657975
Re-0.5-Tc-0.5,Re6Tc6,ReTc,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_B_B|FCC""}",UmVhY3Rpb246MzU4Njg3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.578721779856068
