slab_comp,chemicalComposition,surfaceComposition,Equation,sites,id,pubId,dftCode,dftFunctional,reactants,products,facet,activationEnergy,reactionEnergy
Au-0.8-Ru-0.2,Au9Ru3,Au3Ru,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246MzQ4ODcz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.172004381859523
Au-0.8-Sc-0.2,Au9Sc3,Au3Sc,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246MzQyMjg5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.185684905141017
Au-0.8-Sn-0.2,Au9Sn3,Au3Sn,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDI2NjUy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.367990836742166
Au-0.8-Ta-0.2,Au9Ta3,Au3Ta,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246NDAxNDc3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.347919447957764
Au-0.8-Tc-0.2,Au9Tc3,Au3Tc,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246MzQ2MTE3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.213251533658848
Au-0.8-Ti-0.2,Au9Ti3,Au3Ti,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246NDAxNDY2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.0824590646416539
Au-0.8-Tl-0.2,Au9Tl3,Au3Tl,0.5H2(g) + * -> H*,"{""H"": ""top|A""}",UmVhY3Rpb246MzUwMjkx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.477726320544235
Au-0.8-V-0.2,Au9V3,Au3V,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246NDAxNTA1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.0111679601604635
Au-0.8-W-0.2,Au9W3,Au3W,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246NDAxNTM0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.392427067558828
Au-0.8-Y-0.2,Au9Y3,Au3Y,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246MzQ2ODg3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.214896733942652
Au-0.8-Zn-0.2,Au9Zn3,Au3Zn,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|A""}",UmVhY3Rpb246NDI2NjU5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.456487699339988
Au-0.8-Zr-0.2,Au9Zr3,Au3Zr,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246MzY4NTQ4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.068916911340267
Bi-1.0,Bi12,Bi,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzM5NjA5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.937375438444207
Bi-0.2-Cd-0.8,Bi3Cd9,Cd3Bi,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|A""}",UmVhY3Rpb246NDI3NzY2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.699306034240209
Bi-0.2-Cu-0.8,Bi3Cu9,Cu3Bi,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzM5ODY3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.100254765443452
Bi-0.2-Pd-0.8,Bi3Pd9,Pd3Bi,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQwMDM4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.210303724458726
Bi-0.2-Pt-0.8,Bi3Pt9,Pt3Bi,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzM5ODgz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.280182013956591
Bi-0.2-Rh-0.8,Bi3Rh9,Rh3Bi,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQwMTQz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.426395854457013
Bi-0.2-Ru-0.8,Bi3Ru9,Ru3Bi,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzM5OTU3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.48740731455743
Bi-0.5-Cu-0.5,Bi6Cu6,BiCu,0.5H2(g) + * -> H*,"{""H"": ""hollow-tilt|A_A_B|FCC""}",UmVhY3Rpb246MzQ5NDU0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.174465515542607
Bi-0.5-Ga-0.5,Bi6Ga6,BiGa,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246NDAzOTM3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.893935185239599
Bi-0.5-Hf-0.5,Bi6Hf6,BiHf,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDA2Nzkw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.282443824157753
Bi-0.5-Hg-0.5,Bi6Hg6,BiHg,0.5H2(g) + * -> H*,"{""H"": ""top-tilt|A""}",UmVhY3Rpb246MzQ5ODM5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.463086459939433
Bi-0.5-In-0.5,Bi6In6,BiIn,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246NDA0MTU0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.823721515441349
Bi-0.5-Ir-0.5,Bi6Ir6,BiIr,0.5H2(g) + * -> H*,"{""H"": ""top-tilt|A""}",UmVhY3Rpb246NDE5NzA5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.483790785560785
Bi-0.5-La-0.5,Bi6La6,BiLa,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDA1ODQ4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.337601843558303
Bi-0.5-Mn-0.5,Bi6Mn6,BiMn,0.5H2(g) + * -> H*,"{""H"": ""top|A""}",UmVhY3Rpb246NDI4ODAy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.456221027744533
Bi-0.5-Mo-0.5,Bi6Mo6,BiMo,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDA5ODc3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.620225126755912
Bi-0.5-Nb-0.5,Bi6Nb6,BiNb,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246NDA3OTM4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.418387136057362
Bi-0.5-Os-0.5,Bi6Os6,BiOs,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246MzQ5Nzk5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.478986751760175
Bi-0.5-Pb-0.5,Bi6Pb6,BiPb,0.5H2(g) + * -> H*,"{""H"": ""bridge-tilt|B_B|A""}",UmVhY3Rpb246NDA0MzAw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.759293666041259
Bi-0.5-Pd-0.5,Bi6Pd6,BiPd,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzQ5OTcx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.320578265641444
Bi-0.5-Pt-0.5,Bi6Pt6,BiPt,0.5H2(g) + * -> H*,"{""H"": ""top-tilt|B""}",UmVhY3Rpb246MzQ5NTc4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.0095305151580475
Bi-0.5-Re-0.5,Bi6Re6,BiRe,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzQ5NDc5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.804595041855436
Bi-0.5-Rh-0.5,Bi6Rh6,BiRh,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzQ5Mzk0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.0104566545424234
Bi-0.5-Ru-0.5,Bi6Ru6,BiRu,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246MzYwMDcx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.0931523222561452
Bi-0.5-Sc-0.5,Bi6Sc6,BiSc,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDA2MTk3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.308597909758618
Bi-0.5-Sn-0.5,Bi6Sn6,BiSn,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246NDA0OTcw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.90187614734262
Bi-0.5-Tc-0.5,Bi6Tc6,BiTc,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDExNTY4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.310536584855953
Bi-0.5-Ti-0.5,Bi6Ti6,BiTi,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDA3MDYz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.146476158158265
Bi-0.5-Tl-0.5,Bi6Tl6,BiTl,0.5H2(g) + * -> H*,"{""H"": ""top-tilt|A""}",UmVhY3Rpb246MzQ5ODE4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.488799857140322
Bi-0.5-V-0.5,Bi6V6,BiV,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDA4Njkz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.471708386957261
Bi-0.5-W-0.5,Bi6W6,BiW,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDEwMjQ0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.880054658357921
Bi-0.5-Y-0.5,Bi6Y6,BiY,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzUwMDA1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.297591585261188
Bi-0.5-Zr-0.5,Bi6Zr6,BiZr,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDA2NTYx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.147395086655678
Bi-0.8-Cd-0.2,Bi9Cd3,Bi3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQwMTIx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.976273703542603
Bi-0.8-Cu-0.2,Bi9Cu3,Bi3Cu,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQwMDc1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,1.02831982894807
Bi-0.8-Hf-0.2,Bi9Hf3,Bi3Hf,0.5H2(g) + * -> H*,"{""H"": ""top-tilt|B""}",UmVhY3Rpb246NDA0OTgx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.251857412359612
Bi-0.8-Nb-0.2,Bi9Nb3,Bi3Nb,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzM5ODk2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,1.03220411794339
Bi-0.8-Pd-0.2,Bi9Pd3,Bi3Pd,0.5H2(g) + * -> H*,"{""H"": ""top-tilt|B""}",UmVhY3Rpb246MzYwMjc4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.417493378042337
Bi-0.8-Pt-0.2,Bi9Pt3,Bi3Pt,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzM5OTc3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.992439850543661
Bi-0.8-Re-0.2,Bi9Re3,Bi3Re,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQwMTEx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,1.12277734524199
Bi-0.8-Rh-0.2,Bi9Rh3,Bi3Rh,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246MzYwMjYw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.0856407558394778
Bi-0.8-Ru-0.2,Bi9Ru3,Bi3Ru,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246MzYwMzUy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.299196376660774
Bi-0.8-W-0.2,Bi9W3,Bi3W,0.5H2(g) + * -> H*,"{""H"": ""bridge-tilt|A_B|A""}",UmVhY3Rpb246NDA0OTg3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.978666808658971
Cd-1.0,Cd12,Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246NDI3Nzkz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.825439233941353
Cd-0.2-Co-0.8,Cd3Co9,Co3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQyMzgz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.468678943455387
Cd-0.2-Cr-0.8,Cd3Cr9,Cr3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ1Nzc4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.823347903157782
Cd-0.2-Cu-0.8,Cd3Cu9,Cu3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDAyNDk0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.0317273850387494
Cd-0.2-Fe-0.8,Cd3Fe9,Fe3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246NDI4MTY1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.798474657444814
Cd-0.2-Ga-0.8,Cd3Ga9,Ga3Cd,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_B|A""}",UmVhY3Rpb246NDAzODI3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.619644707942854
Cd-0.2-Hf-0.8,Cd3Hf9,Hf3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQ2NDY0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.09357884995822
Cd-0.2-Hg-0.8,Cd3Hg9,Hg3Cd,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246NDAzMTI2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.978912799645542
Cd-0.2-In-0.8,Cd3In9,In3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246MzQ4ODUx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.694806631939201
Cd-0.2-Ir-0.8,Cd3Ir9,Ir3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDE5MDA5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.430971312557602
Cd-0.2-La-0.8,Cd3La9,La3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246NDA1Nzg2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.715993007160222
Cd-0.2-Mo-0.8,Cd3Mo9,Mo3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ0ODE5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.925727741555392
Cd-0.2-Nb-0.8,Cd3Nb9,Nb3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQ1MzE1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.06465437355925
Cd-0.2-Ni-0.8,Cd3Ni9,Ni3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ2MTY0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.495112626164854
Cd-0.2-Os-0.8,Cd3Os9,Os3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQwMTc4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.464302536655822
Cd-0.2-Pb-0.8,Cd3Pb9,Pb3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow-tilt|A_A_B|FCC""}",UmVhY3Rpb246MzQyNDY1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.698688199740928
Cd-0.2-Pd-0.8,Cd3Pd9,Pd3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDI4OTUz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.280961347957572
Cd-0.2-Pt-0.8,Cd3Pt9,Pt3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDI4OTc4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.344119922358885
Cd-0.2-Re-0.8,Cd3Re9,Re3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQzMzIz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.606129629958531
Cd-0.2-Rh-0.8,Cd3Rh9,Rh3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQwNjA0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.427134643558901
Cd-0.2-Ru-0.8,Cd3Ru9,Ru3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ0OTE3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.482868591759114
Cd-0.2-Sc-0.8,Cd3Sc9,Sc3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDA2MDg1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.17536143965751
Cd-0.2-Sn-0.8,Cd3Sn9,Sn3Cd,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|A""}",UmVhY3Rpb246NDA0ODU3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.804148775140703
Cd-0.2-Ta-0.8,Cd3Ta9,Ta3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246NDA3MjUz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.06989106825765
Cd-0.2-Tc-0.8,Cd3Tc9,Tc3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQxODgy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.60438633265855
Cd-0.2-Ti-0.8,Cd3Ti9,Ti3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDA3MDAx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.11966259415837
Cd-0.2-Tl-0.8,Cd3Tl9,Tl3Cd,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_B|A""}",UmVhY3Rpb246NDA0MjU0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.73413755794266
Cd-0.2-V-0.8,Cd3V9,V3Cd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQxNzYw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.04396283715593
